,id,localidade,IAP,IDH,PIB,GINI,CLASS,qty_casos_2014,qty_casos_2015,qty_casos_2016,qty_casos_2017,qty_casos_2018,qty_casos_2019,qty_casos_2020,qty_casos_2021,qty_casos_2022,qty_casos_2023
80,150506,Novo Repartimento,0.12,0.537,10947.82,0.6,3,4.0,7.0,9.0,10.0,3.0,3.0,39.0,444.0,184.0,120.0
81,150510,Óbidos,0.47,0.594,18746.85,0.62,1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,64.0,186.0,93.0
82,150520,Oeiras do Pará,0.27,0.507,11255.48,0.65,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,150530,Oriximiná,0.32,0.623,28531.44,0.6,2,0.0,0.0,0.0,0.0,0.0,0.0,24.0,111.0,67.0,106.0
84,150540,Ourém,0.0,0.568,9804.65,0.64,3,0.0,0.0,0.0,0.0,0.0,0.0,12.0,71.0,34.0,85.0
85,150543,Ourilândia do Norte,0.47,0.624,19326.03,0.62,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,150548,Pacajá,0.15,0.515,14192.88,0.6,2,0.0,0.0,0.0,0.0,0.0,0.0,24.0,52.0,96.0,152.0
87,150549,Palestina do Pará,0.32,0.589,9515.5,0.63,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,150550,Paragominas,0.52,0.645,27690.03,0.5900000000000001,0,27.0,54.0,129.0,71.0,58.0,40.0,165.0,202.0,299.0,383.0
89,150553,Parauapebas,0.62,0.715,110436.99,0.61,0,42.0,96.0,126.0,99.0,88.0,68.0,276.0,509.0,962.0,956.0
90,150555,Pau D'Arco,0.15,0.574,16215.32,0.6,2,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
91,150560,Peixe-Boi,0.47,0.581,6646.43,0.64,1,2.0,1.0,2.0,1.0,1.0,3.0,5.0,9.0,22.0,62.0
92,150563,Piçarra,0.0,0.563,16322.14,0.63,3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,28.0,30.0,41.0
93,150565,Placas,0.12,0.552,8344.45,0.6599999999999999,3,0.0,1.0,0.0,0.0,3.0,0.0,9.0,11.0,20.0,0.0
94,150570,Ponta de Pedras,0.2,0.562,7127.14,0.64,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,150580,Portel,0.27,0.483,12666.64,0.6,2,1.0,9.0,3.0,16.0,15.0,13.0,35.0,67.0,82.0,55.0
96,150590,Porto de Moz,0.15,0.503,7807.58,0.62,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,150600,Prainha,0.32,0.523,9906.66,0.65,2,2.0,4.0,7.0,5.0,3.0,1.0,15.0,73.0,43.0,128.0
98,150610,Primavera,0.0,0.577,21893.07,0.64,3,0.0,3.0,2.0,1.0,2.0,0.0,5.0,22.0,42.0,10.0
99,150611,Quatipuru,0.0,0.543,7341.53,0.65,3,6.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,70.0,71.0
100,150613,Redenção,0.5700000000000001,0.672,22009.43,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,238.0,258.0,419.0
101,150616,Rio Maria,0.12,0.638,27207.81,0.65,3,1.0,7.0,2.0,6.0,1.0,14.0,9.0,78.0,139.0,146.0
102,150618,Rondon do Pará,0.12,0.602,10184.08,0.5700000000000001,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,150619,Rurópolis,0.0,0.548,7430.99,0.64,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,46.0
104,150620,Salinópolis,0.12,0.647,13048.64,0.63,3,0.0,0.0,0.0,0.0,0.0,0.0,66.0,126.0,93.0,197.0
105,150630,Salvaterra,0.27,0.608,7637.47,0.63,2,2.0,5.0,11.0,5.0,13.0,0.0,30.0,74.0,113.0,68.0
106,150635,Santa Bárbara do Pará,0.3,0.627,8580.95,0.6599999999999999,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,150640,Santa Cruz do Arari,0.0,0.557,7071.41,0.65,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,150650,Santa Izabel do Pará,0.12,0.659,11230.17,0.62,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,150655,Santa Luzia do Pará,0.0,0.546,8081.65,0.62,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,150658,Santa Maria das Barreiras,0.15,0.544,23258.16,0.64,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,150660,Santa Maria do Pará,0.27,0.598,11708.73,0.65,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
